timestamp	num_vids	num_likes	num_followers	num_following
1690529963.356731	121	755000	14000	129
1690560240.3866472	121	755100	14000	129
1690563854.2929313	121	755100	14000	129
1690567468.1269984	121	755100	14000	129
1690571082.5140398	121	755100	14000	129
1690574694.2083514	121	755100	14000	129
1690578306.3131847	121	755100	14000	129
1690580162.8539321	121	755100	14000	129
1690582209.2397804	121	755200	14000	129
1690582777.567655	121	755200	14000	129
1690582921.647691	121	755200	14000	129
1690583216.56264	121	755200	14000	129
