timestamp	num_vids	num_likes	num_followers	num_following
1690529965.3857522	835	3300000	101800	252
1690560242.90763	835	3300000	101800	252
1690563855.8622897	835	3300000	101800	252
1690567470.535705	835	3300000	101800	252
1690571085.2780824	835	3300000	101800	252
1690574697.3848891	835	3300000	101800	252
1690578341.4396844	835	3300000	101800	252
1690580165.0028605	835	3300000	101800	252
1690582212.3135571	835	3300000	101800	252
1690582779.547747	835	3300000	101800	252
1690582923.885664	835	3300000	101800	252
1690583220.882867	835	3300000	101800	252
1690586830.5406206	835	3300000	101800	252
1690590445.3011994	835	3300000	101800	252
1690594058.8304813	835	3300000	101800	252
1690597669.8858976	835	3300000	101800	252
1690601280.8562298	835	3300000	101800	252
1690604887.935057	835	3300000	101800	252
1690608499.0056403	835	3300000	101800	252
1690612123.0039978	835	3300000	101800	252
1690615735.8084946	835	3300000	101800	252
1690619347.8628983	835	3300000	101800	252
1690622955.857368	835	3300000	101800	252
1690626567.5654073	835	3300000	101800	252
1690630178.0892656	835	3300000	101800	252
1690633790.0877812	835	3300000	101800	252
1690637398.5691814	835	3300000	101800	252
1690641011.5911775	835	3300000	101800	252
1690644638.6822119	835	3300000	101800	252
1690648253.1371415	835	3300000	101800	252
1690651862.5666523	835	3300000	101800	252
1690655474.0415654	835	3300000	101800	252
1690659086.4252636	835	3300000	101800	252
1690662694.8832612	835	3300000	101800	252
1690666305.9548683	835	3300000	101800	252
1690669916.0766847	835	3300000	101800	252
1690673526.283535	835	3300000	101800	252
1690677139.0630665	835	3300000	101800	252
1690680755.0232291	835	3300000	101800	252
1690684370.1275635	835	3300000	101700	252
1690687983.2342546	835	3300000	101700	252
1690691593.159106	835	3300000	101800	252
1690695204.1327257	835	3300000	101800	252
1690698814.8026538	835	3300000	101700	252
1690702423.271761	835	3300000	101800	252
1690706036.925601	835	3300000	101700	252
1690709651.3713212	835	3300000	101800	252
1690713269.4564989	835	3300000	101800	252
1690716882.3060067	835	3300000	101700	252
1690720493.9986598	835	3300000	101700	252
1690724106.7037363	836	3300000	101700	252
1690727720.2575123	836	3300000	101700	252
1690731331.5684607	836	3300000	101700	252
1690734943.198715	836	3300000	101700	252
1690738562.710725	836	3300000	101800	252
1690742182.6011746	836	3300000	101800	252
1690745794.5317392	836	3300000	101800	252
1690749405.4017148	836	3300000	101800	252
1690753017.1025906	836	3300000	101800	252
1690756628.0253496	836	3300000	101800	252
1690760241.2564857	836	3300000	101800	252
1690763854.1214275	836	3300000	101800	252
1690767463.2139328	836	3300000	101800	252
1690771075.3617063	836	3300000	101800	252
1690774688.0609913	836	3300000	101800	252
1690777242.0414195	836	3300000	101800	252
1690780869.8839357	836	3300000	101800	252
1690784490.3361154	836	3300000	101800	252
1690786088.442681	836	3300000	101800	252
1690789710.4262924	836	3300000	101800	252
1690793321.6947763	836	3300000	101800	252
1690796936.4389076	836	3300000	101800	252
1690800555.2626913	836	3300000	101800	252
1690804167.2840536	836	3300000	101800	252
1690807778.1086247	836	3300000	101800	252
1690811393.5120366	836	3300000	101800	252
1690815009.671683	836	3300000	101800	252
1690818628.6580253	836	3300000	101800	252
1690822242.676571	836	3300000	101800	252
1690822256.2069235	836	3300000	101800	252
1690822636.708836	836	3300000	101800	252
1690822665.678538	836	3300000	101800	252
1690822710.857414	836	3300000	101800	252
1690822957.0584662	836	3300000	101800	252
1690825764.1651664	836	3300000	101800	252
1690829386.447939	836	3300000	101800	252
1690833006.1111932	836	3300000	101800	252
1690836617.4474776	836	3300000	101800	252
1690840229.4101074	836	3300000	101800	252
1690843841.6862671	836	3300000	101800	252
1690847454.1131759	836	3300000	101800	252
1690852570.0627882	836	3300000	101800	252
1690856193.3232598	836	3300000	101800	252
1690859814.5588882	836	3300000	101800	252
1690863425.9381344	836	3300000	101800	252
1690867034.9993196	836	3300000	101800	252
1690870648.711132	836	3300000	101800	252
1690874257.7884288	836	3300000	101800	252
1690877869.7201679	836	3300000	101800	252
1690881480.7506542	836	3300000	101800	252
1690885100.939184	836	3300000	101800	252
1690888715.2797608	836	3300000	101800	252
1690892327.9874945	836	3300000	101800	252
1690895940.144686	836	3300000	101800	252
1690899551.873519	836	3300000	101800	252
1690903162.1365538	836	3300000	101800	252
1690906774.4890604	836	3300000	101800	252
1690910403.6674268	836	3300000	101800	252
1690923112.1851637	836	3300000	101800	252
1690933870.3246453	836	3300000	101800	252
1690946301.2512133	836	3300000	101800	252
